,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,14.37,1018,73,1715212800,6.08,53,overcast clouds,Buje,2024-05-09 02:00:00,12
1,14.24,1018,73,1715216400,5.92,56,overcast clouds,Buje,2024-05-09 03:00:00,12
2,14.24,1018,74,1715220000,5.32,53,overcast clouds,Buje,2024-05-09 04:00:00,12
3,14.17,1018,73,1715223600,4.81,55,overcast clouds,Buje,2024-05-09 05:00:00,12
4,14.17,1018,72,1715227200,4.4,53,overcast clouds,Buje,2024-05-09 06:00:00,12
5,14.72,1019,72,1715230800,4.34,55,overcast clouds,Buje,2024-05-09 07:00:00,12
6,15.66,1019,70,1715234400,4.32,57,overcast clouds,Buje,2024-05-09 08:00:00,12
7,16.88,1019,65,1715238000,4.32,55,overcast clouds,Buje,2024-05-09 09:00:00,12
8,18.21,1019,59,1715241600,4.53,52,overcast clouds,Buje,2024-05-09 10:00:00,12
9,19.2,1019,54,1715245200,4.81,54,overcast clouds,Buje,2024-05-09 11:00:00,12
10,19.91,1019,50,1715248800,4.65,54,overcast clouds,Buje,2024-05-09 12:00:00,12
11,20.55,1019,48,1715252400,4.75,53,overcast clouds,Buje,2024-05-09 13:00:00,12
12,20.88,1019,48,1715256000,4.21,52,overcast clouds,Buje,2024-05-09 14:00:00,12
13,20.69,1018,49,1715259600,4.03,59,overcast clouds,Buje,2024-05-09 15:00:00,12
14,20.56,1018,49,1715263200,3.94,76,overcast clouds,Buje,2024-05-09 16:00:00,12
15,20.12,1018,51,1715266800,3.74,89,overcast clouds,Buje,2024-05-09 17:00:00,12
16,19.24,1017,54,1715270400,3.56,91,overcast clouds,Buje,2024-05-09 18:00:00,12
17,18.05,1018,59,1715274000,3.09,88,overcast clouds,Buje,2024-05-09 19:00:00,12
18,18.82,1018,40,1715277600,4.63,90,overcast clouds,Buje,2024-05-09 20:00:00,12
19,18.82,1018,40,1715281200,3.6,90,overcast clouds,Buje,2024-05-09 21:00:00,12
20,15.82,1019,51,1715284800,2.06,120,overcast clouds,Buje,2024-05-09 22:00:00,12
21,14.82,1019,55,1715288400,1.03,0,broken clouds,Buje,2024-05-09 23:00:00,12
22,11.82,1020,71,1715292000,1.03,0,broken clouds,Buje,2024-05-10 00:00:00,12
23,10.82,1020,76,1715295600,1.54,0,broken clouds,Buje,2024-05-10 01:00:00,12
24,9.82,1020,76,1715299200,1.54,120,clear sky,Buje,2024-05-10 02:00:00,12
25,8.82,1020,81,1715302800,1.54,0,clear sky,Buje,2024-05-10 03:00:00,12
26,7.82,1019,81,1715306400,2.06,120,clear sky,Buje,2024-05-10 04:00:00,12
27,7.82,1019,81,1715310000,2.06,120,clear sky,Buje,2024-05-10 05:00:00,12
28,7.82,1019,81,1715313600,1.54,120,clear sky,Buje,2024-05-10 06:00:00,12
29,9.82,1019,76,1715317200,1.03,0,clear sky,Buje,2024-05-10 07:00:00,12
30,13.82,1019,67,1715320800,0.51,0,clear sky,Buje,2024-05-10 08:00:00,12
31,19.82,1019,37,1715324400,4.12,60,clear sky,Buje,2024-05-10 09:00:00,12
32,20.82,1019,35,1715328000,4.12,60,clear sky,Buje,2024-05-10 10:00:00,12
33,21.82,1019,33,1715331600,3.6,50,clear sky,Buje,2024-05-10 11:00:00,12
34,22.82,1018,33,1715335200,3.09,40,clear sky,Buje,2024-05-10 12:00:00,12
35,23.82,1018,29,1715338800,3.09,20,clear sky,Buje,2024-05-10 13:00:00,12
36,23.82,1017,33,1715342400,4.12,20,clear sky,Buje,2024-05-10 14:00:00,12
37,24.82,1017,31,1715346000,4.12,10,clear sky,Buje,2024-05-10 15:00:00,12
38,24.82,1016,29,1715349600,1.54,110,clear sky,Buje,2024-05-10 16:00:00,12
39,24.82,1016,29,1715353200,4.12,200,scattered clouds,Buje,2024-05-10 17:00:00,12
40,20.82,1017,49,1715356800,3.6,220,scattered clouds,Buje,2024-05-10 18:00:00,12
41,19.82,1017,49,1715360400,1.54,220,clear sky,Buje,2024-05-10 19:00:00,12
42,18.82,1017,60,1715364000,0.51,140,clear sky,Buje,2024-05-10 20:00:00,12
43,15.82,1018,72,1715367600,2.06,120,overcast clouds,Buje,2024-05-10 21:00:00,12
44,13.82,1018,77,1715371200,3.09,120,overcast clouds,Buje,2024-05-10 22:00:00,12
45,11.82,1019,82,1715374800,3.09,120,broken clouds,Buje,2024-05-10 23:00:00,12
46,11.82,1019,76,1715378400,3.09,120,broken clouds,Buje,2024-05-11 00:00:00,12
47,10.82,1019,82,1715382000,2.06,110,scattered clouds,Buje,2024-05-11 01:00:00,12
48,11.82,1019,71,1715385600,2.57,120,few clouds,Buje,2024-05-11 02:00:00,12
49,11.82,1019,71,1715389200,3.09,120,scattered clouds,Buje,2024-05-11 03:00:00,12
50,11.82,1019,71,1715392800,2.57,110,scattered clouds,Buje,2024-05-11 04:00:00,12
51,10.82,1019,76,1715396400,2.57,120,scattered clouds,Buje,2024-05-11 05:00:00,12
52,9.82,1019,82,1715400000,2.06,120,few clouds,Buje,2024-05-11 06:00:00,12
53,11.82,1019,71,1715403600,2.06,110,scattered clouds,Buje,2024-05-11 07:00:00,12
54,14.82,1019,63,1715407200,1.54,120,clear sky,Buje,2024-05-11 08:00:00,12
55,16.82,1019,55,1715410800,1.03,0,clear sky,Buje,2024-05-11 09:00:00,12
56,18.82,1019,52,1715414400,2.57,290,clear sky,Buje,2024-05-11 10:00:00,12
57,18.82,1019,64,1715418000,4.63,290,clear sky,Buje,2024-05-11 11:00:00,12
58,20.82,1019,46,1715421600,4.63,290,clear sky,Buje,2024-05-11 12:00:00,12
59,21.82,1018,49,1715425200,4.12,310,clear sky,Buje,2024-05-11 13:00:00,12
60,20.82,1018,56,1715428800,4.63,300,clear sky,Buje,2024-05-11 14:00:00,12
