,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,13.88,1019,80,1715212800,4.26,59,overcast clouds,Buzet,2024-05-09 02:00:00,40
1,13.7,1018,80,1715216400,4.25,59,overcast clouds,Buzet,2024-05-09 03:00:00,40
2,13.73,1018,80,1715220000,3.77,56,overcast clouds,Buzet,2024-05-09 04:00:00,40
3,13.8,1018,78,1715223600,3.79,59,overcast clouds,Buzet,2024-05-09 05:00:00,40
4,13.68,1018,78,1715227200,3.67,66,overcast clouds,Buzet,2024-05-09 06:00:00,40
5,14.65,1019,76,1715230800,3.37,66,overcast clouds,Buzet,2024-05-09 07:00:00,40
6,16.23,1019,72,1715234400,3.12,60,overcast clouds,Buzet,2024-05-09 08:00:00,40
7,17.86,1019,64,1715238000,3.44,62,overcast clouds,Buzet,2024-05-09 09:00:00,40
8,19.31,1019,56,1715241600,3.8,62,overcast clouds,Buzet,2024-05-09 10:00:00,40
9,20.23,1019,51,1715245200,4.55,61,overcast clouds,Buzet,2024-05-09 11:00:00,40
10,20.95,1019,47,1715248800,4.85,60,overcast clouds,Buzet,2024-05-09 12:00:00,40
11,21.61,1019,45,1715252400,4.67,60,overcast clouds,Buzet,2024-05-09 13:00:00,40
12,21.99,1019,46,1715256000,4.51,61,overcast clouds,Buzet,2024-05-09 14:00:00,40
13,21.73,1018,45,1715259600,4.99,62,overcast clouds,Buzet,2024-05-09 15:00:00,40
14,21.57,1018,46,1715263200,4.63,73,overcast clouds,Buzet,2024-05-09 16:00:00,40
15,20.76,1018,49,1715266800,4.33,74,overcast clouds,Buzet,2024-05-09 17:00:00,40
16,19.62,1018,54,1715270400,4.22,78,overcast clouds,Buzet,2024-05-09 18:00:00,40
17,18.13,1018,61,1715274000,3.77,83,overcast clouds,Buzet,2024-05-09 19:00:00,40
18,17.65,1019,66,1715277600,3.14,80,overcast clouds,Buzet,2024-05-09 20:00:00,40
19,17.09,1019,67,1715281200,2.84,69,overcast clouds,Buzet,2024-05-09 21:00:00,40
20,15.98,1020,67,1715284800,3.02,65,overcast clouds,Buzet,2024-05-09 22:00:00,40
21,15.43,1020,68,1715288400,3.36,66,overcast clouds,Buzet,2024-05-09 23:00:00,40
22,14.87,1020,68,1715292000,3.31,65,broken clouds,Buzet,2024-05-10 00:00:00,40
23,14.87,1020,72,1715295600,2.99,61,broken clouds,Buzet,2024-05-10 01:00:00,40
24,14.32,1020,77,1715299200,2.91,60,clear sky,Buzet,2024-05-10 02:00:00,40
25,13.76,1020,73,1715302800,3.14,56,clear sky,Buzet,2024-05-10 03:00:00,40
26,13.76,1020,69,1715306400,3.32,54,clear sky,Buzet,2024-05-10 04:00:00,40
27,13.2,1019,69,1715310000,3.1,50,clear sky,Buzet,2024-05-10 05:00:00,40
28,13.2,1019,71,1715313600,2.92,48,clear sky,Buzet,2024-05-10 06:00:00,40
29,12.65,1019,71,1715317200,2.77,52,clear sky,Buzet,2024-05-10 07:00:00,40
30,14.4,1019,60,1715320800,2.88,50,clear sky,Buzet,2024-05-10 08:00:00,40
31,20.4,1019,52,1715324400,3.54,55,clear sky,Buzet,2024-05-10 09:00:00,40
32,21.4,1019,45,1715328000,3.93,59,clear sky,Buzet,2024-05-10 10:00:00,40
33,18.2,1019,41,1715331600,4.04,68,clear sky,Buzet,2024-05-10 11:00:00,40
34,20.98,1019,38,1715335200,3.75,76,clear sky,Buzet,2024-05-10 12:00:00,40
35,21.54,1018,36,1715338800,3.5,79,clear sky,Buzet,2024-05-10 13:00:00,40
36,22.65,1018,34,1715342400,3.71,84,clear sky,Buzet,2024-05-10 14:00:00,40
37,23.2,1018,35,1715346000,3.76,84,clear sky,Buzet,2024-05-10 15:00:00,40
38,24.32,1018,35,1715349600,3.43,82,clear sky,Buzet,2024-05-10 16:00:00,40
39,25.43,1017,39,1715353200,3.12,82,clear sky,Buzet,2024-05-10 17:00:00,40
40,21.4,1017,45,1715356800,2.51,89,few clouds,Buzet,2024-05-10 18:00:00,40
41,20.4,1018,59,1715360400,1.62,80,few clouds,Buzet,2024-05-10 19:00:00,40
42,19.4,1018,68,1715364000,1.72,67,broken clouds,Buzet,2024-05-10 20:00:00,40
43,16.4,1019,69,1715367600,2.11,68,broken clouds,Buzet,2024-05-10 21:00:00,40
44,14.4,1019,69,1715371200,2.12,72,overcast clouds,Buzet,2024-05-10 22:00:00,40
45,12.4,1020,69,1715374800,2.2,73,broken clouds,Buzet,2024-05-10 23:00:00,40
46,12.4,1020,69,1715378400,2.31,72,broken clouds,Buzet,2024-05-11 00:00:00,40
47,11.4,1020,71,1715382000,2.25,70,broken clouds,Buzet,2024-05-11 01:00:00,40
48,12.4,1020,72,1715385600,2.17,69,few clouds,Buzet,2024-05-11 02:00:00,40
49,15.43,1020,73,1715389200,2.12,72,scattered clouds,Buzet,2024-05-11 03:00:00,40
50,14.87,1020,74,1715392800,2.01,73,scattered clouds,Buzet,2024-05-11 04:00:00,40
51,11.4,1019,75,1715396400,1.89,64,few clouds,Buzet,2024-05-11 05:00:00,40
52,14.32,1020,76,1715400000,1.94,53,few clouds,Buzet,2024-05-11 06:00:00,40
53,14.87,1020,74,1715403600,1.78,52,few clouds,Buzet,2024-05-11 07:00:00,40
54,14.87,1019,63,1715407200,1.47,58,clear sky,Buzet,2024-05-11 08:00:00,40
55,17.4,1019,51,1715410800,1.42,65,clear sky,Buzet,2024-05-11 09:00:00,40
56,19.4,1019,44,1715414400,1.56,61,clear sky,Buzet,2024-05-11 10:00:00,40
57,20.43,1019,42,1715418000,1.56,55,clear sky,Buzet,2024-05-11 11:00:00,40
58,22.09,1019,40,1715421600,1.51,48,few clouds,Buzet,2024-05-11 12:00:00,40
59,22.65,1018,38,1715425200,1.39,51,few clouds,Buzet,2024-05-11 13:00:00,40
60,23.76,1018,41,1715428800,0.29,69,broken clouds,Buzet,2024-05-11 14:00:00,40
