,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,12.75,1018,80,1715212800,4.57,55,overcast clouds,Kanfanar,2024-05-09 02:00:00,17
1,12.51,1017,80,1715216400,4.75,53,overcast clouds,Kanfanar,2024-05-09 03:00:00,17
2,12.47,1017,79,1715220000,4.45,52,overcast clouds,Kanfanar,2024-05-09 04:00:00,17
3,12.43,1017,78,1715223600,4.45,57,overcast clouds,Kanfanar,2024-05-09 05:00:00,17
4,12.35,1018,77,1715227200,4.69,64,overcast clouds,Kanfanar,2024-05-09 06:00:00,17
5,13.17,1018,77,1715230800,5.05,64,overcast clouds,Kanfanar,2024-05-09 07:00:00,17
6,14.39,1018,73,1715234400,4.65,62,overcast clouds,Kanfanar,2024-05-09 08:00:00,17
7,15.86,1019,67,1715238000,4.45,60,overcast clouds,Kanfanar,2024-05-09 09:00:00,17
8,17.43,1019,59,1715241600,4.36,60,overcast clouds,Kanfanar,2024-05-09 10:00:00,17
9,18.49,1019,54,1715245200,4.53,62,overcast clouds,Kanfanar,2024-05-09 11:00:00,17
10,19.39,1018,50,1715248800,4.59,59,overcast clouds,Kanfanar,2024-05-09 12:00:00,17
11,20.05,1018,47,1715252400,4.34,57,overcast clouds,Kanfanar,2024-05-09 13:00:00,17
12,20.26,1018,46,1715256000,3.87,62,overcast clouds,Kanfanar,2024-05-09 14:00:00,17
13,20.23,1018,48,1715259600,3.81,61,overcast clouds,Kanfanar,2024-05-09 15:00:00,17
14,19.96,1018,49,1715263200,3.81,62,overcast clouds,Kanfanar,2024-05-09 16:00:00,17
15,19.4,1018,51,1715266800,4.13,62,overcast clouds,Kanfanar,2024-05-09 17:00:00,17
16,18.36,1017,55,1715270400,4.45,67,overcast clouds,Kanfanar,2024-05-09 18:00:00,17
17,17.05,1018,61,1715274000,4.24,69,overcast clouds,Kanfanar,2024-05-09 19:00:00,17
18,16.56,1018,66,1715277600,4.26,63,overcast clouds,Kanfanar,2024-05-09 20:00:00,17
19,15.56,1019,68,1715281200,3.84,54,overcast clouds,Kanfanar,2024-05-09 21:00:00,17
20,12.56,1019,69,1715284800,3.74,53,overcast clouds,Kanfanar,2024-05-09 22:00:00,17
21,12.56,1019,70,1715288400,4.23,54,overcast clouds,Kanfanar,2024-05-09 23:00:00,17
22,15.56,1020,69,1715292000,4.39,54,overcast clouds,Kanfanar,2024-05-10 00:00:00,17
23,15.56,1019,68,1715295600,4.61,54,overcast clouds,Kanfanar,2024-05-10 01:00:00,17
24,13.56,1019,70,1715299200,4.69,55,clear sky,Kanfanar,2024-05-10 02:00:00,17
25,15.56,1019,72,1715302800,4.51,49,clear sky,Kanfanar,2024-05-10 03:00:00,17
26,14.56,1019,72,1715306400,4.35,45,clear sky,Kanfanar,2024-05-10 04:00:00,17
27,14.56,1018,70,1715310000,4.25,45,clear sky,Kanfanar,2024-05-10 05:00:00,17
28,14.56,1018,69,1715313600,4.05,47,clear sky,Kanfanar,2024-05-10 06:00:00,17
29,15.56,1018,69,1715317200,4.01,50,clear sky,Kanfanar,2024-05-10 07:00:00,17
30,17.56,1019,60,1715320800,3.94,50,clear sky,Kanfanar,2024-05-10 08:00:00,17
31,18.56,1019,53,1715324400,4.24,51,clear sky,Kanfanar,2024-05-10 09:00:00,17
32,19.56,1019,48,1715328000,4.23,57,clear sky,Kanfanar,2024-05-10 10:00:00,17
33,20.56,1018,44,1715331600,4.35,62,clear sky,Kanfanar,2024-05-10 11:00:00,17
34,20.56,1018,41,1715335200,4.21,73,clear sky,Kanfanar,2024-05-10 12:00:00,17
35,21.56,1018,39,1715338800,3.65,81,clear sky,Kanfanar,2024-05-10 13:00:00,17
36,21.56,1018,38,1715342400,2.83,89,clear sky,Kanfanar,2024-05-10 14:00:00,17
37,22.56,1018,39,1715346000,2.06,98,clear sky,Kanfanar,2024-05-10 15:00:00,17
38,22.56,1017,41,1715349600,1.26,101,clear sky,Kanfanar,2024-05-10 16:00:00,17
39,22.56,1017,43,1715353200,1.21,105,clear sky,Kanfanar,2024-05-10 17:00:00,17
40,22.56,1017,48,1715356800,1.12,99,clear sky,Kanfanar,2024-05-10 18:00:00,17
41,19.56,1017,58,1715360400,0.91,74,clear sky,Kanfanar,2024-05-10 19:00:00,17
42,15.56,1017,64,1715364000,1.67,40,scattered clouds,Kanfanar,2024-05-10 20:00:00,17
43,12.56,1018,63,1715367600,2.75,50,scattered clouds,Kanfanar,2024-05-10 21:00:00,17
44,14.56,1019,63,1715371200,3.35,60,scattered clouds,Kanfanar,2024-05-10 22:00:00,17
45,14.56,1019,64,1715374800,3.48,66,scattered clouds,Kanfanar,2024-05-10 23:00:00,17
46,14.56,1019,64,1715378400,3.67,64,scattered clouds,Kanfanar,2024-05-11 00:00:00,17
47,14.56,1019,64,1715382000,3.78,64,scattered clouds,Kanfanar,2024-05-11 01:00:00,17
48,14.56,1019,65,1715385600,3.36,58,clear sky,Kanfanar,2024-05-11 02:00:00,17
49,15.56,1019,66,1715389200,3.36,59,few clouds,Kanfanar,2024-05-11 03:00:00,17
50,15.56,1019,66,1715392800,3.12,59,few clouds,Kanfanar,2024-05-11 04:00:00,17
51,15.56,1018,68,1715396400,2.84,54,scattered clouds,Kanfanar,2024-05-11 05:00:00,17
52,15.56,1019,69,1715400000,2.85,43,scattered clouds,Kanfanar,2024-05-11 06:00:00,17
53,16.56,1019,70,1715403600,2.68,38,few clouds,Kanfanar,2024-05-11 07:00:00,17
54,17.56,1019,62,1715407200,2.2,40,clear sky,Kanfanar,2024-05-11 08:00:00,17
55,19.56,1019,53,1715410800,2.22,49,clear sky,Kanfanar,2024-05-11 09:00:00,17
56,20.56,1019,47,1715414400,2.05,46,clear sky,Kanfanar,2024-05-11 10:00:00,17
57,21.56,1019,45,1715418000,1.58,37,clear sky,Kanfanar,2024-05-11 11:00:00,17
58,21.56,1019,44,1715421600,0.89,6,clear sky,Kanfanar,2024-05-11 12:00:00,17
59,22.56,1019,45,1715425200,1.22,294,few clouds,Kanfanar,2024-05-11 13:00:00,17
60,23.56,1019,51,1715428800,2.04,266,overcast clouds,Kanfanar,2024-05-11 14:00:00,17
61,22.56,1019,54,1715432400,2.25,273,overcast clouds,Kanfanar,2024-05-11 15:00:00,17
62,21.56,1018,52,1715436000,2.61,285,broken clouds,Kanfanar,2024-05-11 16:00:00,17
63,21.56,1018,52,1715439600,2.86,293,broken clouds,Kanfanar,2024-05-11 17:00:00,17
64,20.56,1018,56,1715443200,2.58,295,broken clouds,Kanfanar,2024-05-11 18:00:00,17
65,19.56,1018,67,1715446800,2.18,308,broken clouds,Kanfanar,2024-05-11 19:00:00,17
66,17.56,1018,69,1715450400,2.01,333,overcast clouds,Kanfanar,2024-05-11 20:00:00,17
67,15.56,1018,66,1715454000,2.08,360,overcast clouds,Kanfanar,2024-05-11 21:00:00,17
68,14.56,1019,65,1715457600,2.14,17,overcast clouds,Kanfanar,2024-05-11 22:00:00,17
69,15.56,1019,65,1715461200,2.18,28,overcast clouds,Kanfanar,2024-05-11 23:00:00,17
70,14.56,1019,67,1715464800,2.18,33,broken clouds,Kanfanar,2024-05-12 00:00:00,17
71,14.56,1018,67,1715468400,2.23,37,broken clouds,Kanfanar,2024-05-12 01:00:00,17
72,14.56,1018,65,1715472000,2.22,38,scattered clouds,Kanfanar,2024-05-12 02:00:00,17
73,15.56,1018,63,1715475600,2.17,39,scattered clouds,Kanfanar,2024-05-12 03:00:00,17
74,12.56,1017,63,1715479200,2.15,39,scattered clouds,Kanfanar,2024-05-12 04:00:00,17
75,12.56,1017,62,1715482800,1.97,38,scattered clouds,Kanfanar,2024-05-12 05:00:00,17
76,13.56,1017,62,1715486400,1.73,41,scattered clouds,Kanfanar,2024-05-12 06:00:00,17
77,15.56,1017,63,1715490000,1.33,45,scattered clouds,Kanfanar,2024-05-12 07:00:00,17
78,17.56,1018,58,1715493600,0.51,35,few clouds,Kanfanar,2024-05-12 08:00:00,17
79,20.56,1018,52,1715497200,0.27,252,scattered clouds,Kanfanar,2024-05-12 09:00:00,17
80,21.56,1018,48,1715500800,0.49,197,scattered clouds,Kanfanar,2024-05-12 10:00:00,17
81,22.56,1018,44,1715504400,0.89,190,scattered clouds,Kanfanar,2024-05-12 11:00:00,17
82,22.56,1018,44,1715508000,1.53,211,scattered clouds,Kanfanar,2024-05-12 12:00:00,17
83,21.56,1017,45,1715511600,2.39,226,scattered clouds,Kanfanar,2024-05-12 13:00:00,17
84,23.56,1018,48,1715515200,3.07,233,scattered clouds,Kanfanar,2024-05-12 14:00:00,17
85,22.56,1017,51,1715518800,2.64,239,scattered clouds,Kanfanar,2024-05-12 15:00:00,17
86,22.56,1017,53,1715522400,1.71,255,scattered clouds,Kanfanar,2024-05-12 16:00:00,17
87,22.56,1017,52,1715526000,1.37,267,scattered clouds,Kanfanar,2024-05-12 17:00:00,17
88,21.56,1016,54,1715529600,0.86,290,broken clouds,Kanfanar,2024-05-12 18:00:00,17
89,20.56,1016,65,1715533200,0.44,8,broken clouds,Kanfanar,2024-05-12 19:00:00,17
90,16.56,1016,70,1715536800,0.84,73,overcast clouds,Kanfanar,2024-05-12 20:00:00,17
91,13.56,1017,72,1715540400,1.54,74,overcast clouds,Kanfanar,2024-05-12 21:00:00,17
92,11.56,1017,73,1715544000,1.84,70,overcast clouds,Kanfanar,2024-05-12 22:00:00,17
93,11.56,1017,73,1715547600,1.98,67,overcast clouds,Kanfanar,2024-05-12 23:00:00,17
94,12.56,1017,71,1715551200,2.03,63,overcast clouds,Kanfanar,2024-05-13 00:00:00,17
95,13.56,1017,71,1715554800,1.89,67,overcast clouds,Kanfanar,2024-05-13 01:00:00,17
96,12.56,1017,71,1715558400,1.55,72,scattered clouds,Kanfanar,2024-05-13 02:00:00,17
97,9.56,1016,71,1715562000,1.53,78,broken clouds,Kanfanar,2024-05-13 03:00:00,17
98,9.56,1016,72,1715565600,1.67,79,broken clouds,Kanfanar,2024-05-13 04:00:00,17
99,9.56,1016,72,1715569200,1.9,77,broken clouds,Kanfanar,2024-05-13 05:00:00,17
100,13.56,1016,72,1715572800,2.1,76,overcast clouds,Kanfanar,2024-05-13 06:00:00,17
101,15.56,1016,72,1715576400,1.95,77,overcast clouds,Kanfanar,2024-05-13 07:00:00,17
102,17.56,1016,67,1715580000,1.61,85,light rain,Kanfanar,2024-05-13 08:00:00,17
103,17.56,1016,61,1715583600,1.74,107,light rain,Kanfanar,2024-05-13 09:00:00,17
104,18.56,1016,56,1715587200,1.96,130,overcast clouds,Kanfanar,2024-05-13 10:00:00,17
105,19.56,1016,54,1715590800,2.28,156,overcast clouds,Kanfanar,2024-05-13 11:00:00,17
106,19.56,1016,52,1715594400,2.46,168,overcast clouds,Kanfanar,2024-05-13 12:00:00,17
107,18.56,1016,49,1715598000,2.83,171,overcast clouds,Kanfanar,2024-05-13 13:00:00,17
108,18.56,1015,52,1715601600,3.01,158,overcast clouds,Kanfanar,2024-05-13 14:00:00,17
109,19.56,1015,55,1715605200,2.65,155,overcast clouds,Kanfanar,2024-05-13 15:00:00,17
110,21.56,1015,57,1715608800,1.64,148,overcast clouds,Kanfanar,2024-05-13 16:00:00,17
111,21.56,1014,57,1715612400,1.23,131,overcast clouds,Kanfanar,2024-05-13 17:00:00,17
112,20.56,1014,62,1715616000,1.16,108,overcast clouds,Kanfanar,2024-05-13 18:00:00,17
113,17.56,1014,71,1715619600,1.41,130,overcast clouds,Kanfanar,2024-05-13 19:00:00,17
114,16.56,1013,73,1715623200,2.75,114,overcast clouds,Kanfanar,2024-05-13 20:00:00,17
115,13.56,1014,74,1715626800,1.8,112,overcast clouds,Kanfanar,2024-05-13 21:00:00,17
116,13.56,1014,74,1715630400,1.75,96,overcast clouds,Kanfanar,2024-05-13 22:00:00,17
117,14.56,1014,73,1715634000,1.7,91,overcast clouds,Kanfanar,2024-05-13 23:00:00,17
