,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,13.89,1018,78,1715212800,6.9,52,overcast clouds,Labin,2024-05-09 02:00:00,4
1,13.76,1017,76,1715216400,7.09,47,overcast clouds,Labin,2024-05-09 03:00:00,4
2,13.83,1017,75,1715220000,6.66,48,overcast clouds,Labin,2024-05-09 04:00:00,4
3,13.81,1017,74,1715223600,6.49,59,overcast clouds,Labin,2024-05-09 05:00:00,4
4,13.66,1018,74,1715227200,6.68,59,overcast clouds,Labin,2024-05-09 06:00:00,4
5,14.17,1018,74,1715230800,6.67,61,overcast clouds,Labin,2024-05-09 07:00:00,4
6,15.03,1018,70,1715234400,6.51,61,broken clouds,Labin,2024-05-09 08:00:00,4
7,15.99,1019,66,1715238000,6.37,59,overcast clouds,Labin,2024-05-09 09:00:00,4
8,16.91,1019,62,1715241600,6.18,59,overcast clouds,Labin,2024-05-09 10:00:00,4
9,17.64,1019,58,1715245200,6.31,60,overcast clouds,Labin,2024-05-09 11:00:00,4
10,18.43,1019,55,1715248800,6.48,56,overcast clouds,Labin,2024-05-09 12:00:00,4
11,19.07,1018,51,1715252400,6.44,59,overcast clouds,Labin,2024-05-09 13:00:00,4
12,19.45,1018,50,1715256000,6.02,62,overcast clouds,Labin,2024-05-09 14:00:00,4
13,19.65,1018,51,1715259600,5.96,61,overcast clouds,Labin,2024-05-09 15:00:00,4
14,19.55,1018,51,1715263200,5.99,63,overcast clouds,Labin,2024-05-09 16:00:00,4
15,19.15,1018,53,1715266800,5.82,61,overcast clouds,Labin,2024-05-09 17:00:00,4
16,18.36,1017,57,1715270400,5.88,61,overcast clouds,Labin,2024-05-09 18:00:00,4
17,17.35,1018,62,1715274000,5.37,54,overcast clouds,Labin,2024-05-09 19:00:00,4
18,17.71,1018,66,1715277600,5.5,44,overcast clouds,Labin,2024-05-09 20:00:00,4
19,16.6,1019,68,1715281200,5.5,43,overcast clouds,Labin,2024-05-09 21:00:00,4
20,15.49,1019,70,1715284800,5.07,45,overcast clouds,Labin,2024-05-09 22:00:00,4
21,15.49,1019,71,1715288400,5.76,41,overcast clouds,Labin,2024-05-09 23:00:00,4
22,14.94,1020,70,1715292000,5.82,40,overcast clouds,Labin,2024-05-10 00:00:00,4
23,15.49,1019,69,1715295600,5.73,38,overcast clouds,Labin,2024-05-10 01:00:00,4
24,14.94,1019,71,1715299200,5.73,38,clear sky,Labin,2024-05-10 02:00:00,4
25,14.94,1019,72,1715302800,5.81,38,clear sky,Labin,2024-05-10 03:00:00,4
26,13.82,1019,71,1715306400,5.72,38,clear sky,Labin,2024-05-10 04:00:00,4
27,14.38,1018,70,1715310000,5.45,40,clear sky,Labin,2024-05-10 05:00:00,4
28,14.38,1018,69,1715313600,5.44,40,clear sky,Labin,2024-05-10 06:00:00,4
29,14.38,1018,68,1715317200,5.38,42,clear sky,Labin,2024-05-10 07:00:00,4
30,16.6,1019,62,1715320800,5.09,43,clear sky,Labin,2024-05-10 08:00:00,4
31,17.71,1018,57,1715324400,4.98,46,clear sky,Labin,2024-05-10 09:00:00,4
32,20.49,1019,53,1715328000,5.29,53,clear sky,Labin,2024-05-10 10:00:00,4
33,20.93,1019,50,1715331600,5.6,61,clear sky,Labin,2024-05-10 11:00:00,4
34,20.93,1018,48,1715335200,5.29,73,clear sky,Labin,2024-05-10 12:00:00,4
35,21.93,1018,46,1715338800,4.99,75,clear sky,Labin,2024-05-10 13:00:00,4
36,21.93,1018,45,1715342400,4.39,78,clear sky,Labin,2024-05-10 14:00:00,4
37,22.93,1018,45,1715346000,3.73,77,clear sky,Labin,2024-05-10 15:00:00,4
38,22.93,1017,45,1715349600,3.38,71,clear sky,Labin,2024-05-10 16:00:00,4
39,22.93,1017,46,1715353200,3.4,67,clear sky,Labin,2024-05-10 17:00:00,4
40,22.93,1017,51,1715356800,3.63,67,clear sky,Labin,2024-05-10 18:00:00,4
41,19.93,1017,58,1715360400,3.33,63,clear sky,Labin,2024-05-10 19:00:00,4
42,18.82,1017,62,1715364000,3.31,38,scattered clouds,Labin,2024-05-10 20:00:00,4
43,17.71,1018,62,1715367600,4.23,29,scattered clouds,Labin,2024-05-10 21:00:00,4
44,17.71,1019,65,1715371200,4.29,31,scattered clouds,Labin,2024-05-10 22:00:00,4
45,17.16,1019,66,1715374800,4.16,31,scattered clouds,Labin,2024-05-10 23:00:00,4
46,16.6,1019,66,1715378400,4.46,31,scattered clouds,Labin,2024-05-11 00:00:00,4
47,16.6,1019,67,1715382000,4.33,29,scattered clouds,Labin,2024-05-11 01:00:00,4
48,15.49,1019,68,1715385600,4.19,25,clear sky,Labin,2024-05-11 02:00:00,4
49,15.49,1019,68,1715389200,4.21,26,few clouds,Labin,2024-05-11 03:00:00,4
50,14.94,1019,70,1715392800,4.01,25,few clouds,Labin,2024-05-11 04:00:00,4
51,14.94,1018,71,1715396400,3.89,24,few clouds,Labin,2024-05-11 05:00:00,4
52,14.94,1019,72,1715400000,3.88,21,scattered clouds,Labin,2024-05-11 06:00:00,4
53,15.49,1019,72,1715403600,3.78,15,scattered clouds,Labin,2024-05-11 07:00:00,4
54,17.16,1019,66,1715407200,3.46,25,clear sky,Labin,2024-05-11 08:00:00,4
55,17.71,1019,58,1715410800,3.55,44,clear sky,Labin,2024-05-11 09:00:00,4
56,19.94,1019,53,1715414400,3.45,48,clear sky,Labin,2024-05-11 10:00:00,4
57,21.6,1019,50,1715418000,2.91,49,clear sky,Labin,2024-05-11 11:00:00,4
58,21.93,1019,48,1715421600,2.61,60,clear sky,Labin,2024-05-11 12:00:00,4
59,22.93,1019,47,1715425200,2.29,83,few clouds,Labin,2024-05-11 13:00:00,4
60,23.93,1018,49,1715428800,1.08,136,broken clouds,Labin,2024-05-11 14:00:00,4
61,22.93,1018,51,1715432400,1.51,246,broken clouds,Labin,2024-05-11 15:00:00,4
62,21.93,1018,49,1715436000,2.59,272,scattered clouds,Labin,2024-05-11 16:00:00,4
63,21.93,1018,51,1715439600,3.04,286,scattered clouds,Labin,2024-05-11 17:00:00,4
64,20.93,1017,55,1715443200,3.11,297,scattered clouds,Labin,2024-05-11 18:00:00,4
65,19.93,1017,64,1715446800,3.06,305,scattered clouds,Labin,2024-05-11 19:00:00,4
66,19.94,1018,68,1715450400,3.18,316,overcast clouds,Labin,2024-05-11 20:00:00,4
67,17.71,1018,68,1715454000,3.4,332,overcast clouds,Labin,2024-05-11 21:00:00,4
68,17.71,1018,68,1715457600,3.63,347,overcast clouds,Labin,2024-05-11 22:00:00,4
