,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,12.62,1018,82,1715212800,3.25,53,overcast clouds,Motovun,2024-05-09 02:00:00,25
1,12.39,1018,83,1715216400,3.42,53,overcast clouds,Motovun,2024-05-09 03:00:00,25
2,12.38,1018,82,1715220000,3.1,51,overcast clouds,Motovun,2024-05-09 04:00:00,25
3,12.31,1018,81,1715223600,2.88,54,overcast clouds,Motovun,2024-05-09 05:00:00,25
4,12.19,1018,80,1715227200,2.64,62,overcast clouds,Motovun,2024-05-09 06:00:00,25
5,13.26,1018,79,1715230800,2.66,64,overcast clouds,Motovun,2024-05-09 07:00:00,25
6,14.84,1019,75,1715234400,2.44,58,overcast clouds,Motovun,2024-05-09 08:00:00,25
7,16.6,1019,67,1715238000,2.55,59,overcast clouds,Motovun,2024-05-09 09:00:00,25
8,18.49,1019,57,1715241600,3.01,61,overcast clouds,Motovun,2024-05-09 10:00:00,25
9,19.69,1019,50,1715245200,3.78,61,overcast clouds,Motovun,2024-05-09 11:00:00,25
10,20.57,1019,45,1715248800,4.14,58,overcast clouds,Motovun,2024-05-09 12:00:00,25
11,21.24,1019,43,1715252400,4.21,58,overcast clouds,Motovun,2024-05-09 13:00:00,25
12,21.66,1018,43,1715256000,3.68,59,overcast clouds,Motovun,2024-05-09 14:00:00,25
13,21.3,1018,44,1715259600,3.86,58,overcast clouds,Motovun,2024-05-09 15:00:00,25
14,20.97,1018,45,1715263200,3.72,69,overcast clouds,Motovun,2024-05-09 16:00:00,25
15,20.29,1018,48,1715266800,3.76,75,overcast clouds,Motovun,2024-05-09 17:00:00,25
16,19.09,1018,53,1715270400,3.62,77,overcast clouds,Motovun,2024-05-09 18:00:00,25
17,17.55,1018,61,1715274000,2.95,82,overcast clouds,Motovun,2024-05-09 19:00:00,25
18,18.6,1019,67,1715277600,2.28,81,overcast clouds,Motovun,2024-05-09 20:00:00,25
19,18.6,1019,68,1715281200,2.16,70,overcast clouds,Motovun,2024-05-09 21:00:00,25
20,15.6,1019,68,1715284800,2.54,64,overcast clouds,Motovun,2024-05-09 22:00:00,25
21,14.6,1020,68,1715288400,3.13,67,overcast clouds,Motovun,2024-05-09 23:00:00,25
22,11.6,1020,68,1715292000,3.12,68,broken clouds,Motovun,2024-05-10 00:00:00,25
23,10.6,1020,70,1715295600,2.98,65,broken clouds,Motovun,2024-05-10 01:00:00,25
24,9.6,1020,74,1715299200,2.9,62,clear sky,Motovun,2024-05-10 02:00:00,25
25,8.6,1020,74,1715302800,2.95,57,clear sky,Motovun,2024-05-10 03:00:00,25
26,7.6,1019,71,1715306400,3.13,55,clear sky,Motovun,2024-05-10 04:00:00,25
27,7.6,1019,69,1715310000,3.05,52,clear sky,Motovun,2024-05-10 05:00:00,25
28,7.6,1019,69,1715313600,2.9,50,clear sky,Motovun,2024-05-10 06:00:00,25
29,9.6,1019,69,1715317200,2.71,52,clear sky,Motovun,2024-05-10 07:00:00,25
30,13.6,1019,60,1715320800,2.69,46,clear sky,Motovun,2024-05-10 08:00:00,25
31,19.6,1019,51,1715324400,3.29,50,clear sky,Motovun,2024-05-10 09:00:00,25
32,20.6,1019,44,1715328000,3.38,53,clear sky,Motovun,2024-05-10 10:00:00,25
33,21.6,1019,40,1715331600,3.47,61,clear sky,Motovun,2024-05-10 11:00:00,25
34,22.6,1018,36,1715335200,3.24,74,clear sky,Motovun,2024-05-10 12:00:00,25
35,23.6,1018,34,1715338800,2.66,83,clear sky,Motovun,2024-05-10 13:00:00,25
36,23.6,1018,32,1715342400,2.0,95,clear sky,Motovun,2024-05-10 14:00:00,25
37,24.6,1018,34,1715346000,1.56,93,clear sky,Motovun,2024-05-10 15:00:00,25
38,24.6,1017,36,1715349600,1.09,85,clear sky,Motovun,2024-05-10 16:00:00,25
39,24.6,1017,38,1715353200,1.25,105,clear sky,Motovun,2024-05-10 17:00:00,25
40,20.6,1017,44,1715356800,1.3,116,few clouds,Motovun,2024-05-10 18:00:00,25
41,19.6,1017,59,1715360400,0.48,104,few clouds,Motovun,2024-05-10 19:00:00,25
42,18.6,1018,67,1715364000,0.97,55,broken clouds,Motovun,2024-05-10 20:00:00,25
43,15.6,1018,68,1715367600,1.75,68,broken clouds,Motovun,2024-05-10 21:00:00,25
44,13.6,1019,69,1715371200,2.03,76,broken clouds,Motovun,2024-05-10 22:00:00,25
45,11.6,1019,68,1715374800,2.11,79,broken clouds,Motovun,2024-05-10 23:00:00,25
46,11.6,1019,68,1715378400,2.3,77,broken clouds,Motovun,2024-05-11 00:00:00,25
47,10.6,1019,69,1715382000,2.37,77,scattered clouds,Motovun,2024-05-11 01:00:00,25
48,11.6,1019,69,1715385600,2.3,75,clear sky,Motovun,2024-05-11 02:00:00,25
49,11.6,1019,69,1715389200,2.25,78,few clouds,Motovun,2024-05-11 03:00:00,25
50,11.6,1019,70,1715392800,2.15,81,few clouds,Motovun,2024-05-11 04:00:00,25
51,10.6,1019,71,1715396400,2.01,74,few clouds,Motovun,2024-05-11 05:00:00,25
52,9.6,1019,72,1715400000,2.02,64,few clouds,Motovun,2024-05-11 06:00:00,25
53,11.6,1019,71,1715403600,1.82,63,few clouds,Motovun,2024-05-11 07:00:00,25
54,14.6,1019,61,1715407200,1.39,63,clear sky,Motovun,2024-05-11 08:00:00,25
55,16.6,1019,51,1715410800,1.02,58,clear sky,Motovun,2024-05-11 09:00:00,25
56,18.6,1019,44,1715414400,0.82,43,clear sky,Motovun,2024-05-11 10:00:00,25
57,18.6,1019,41,1715418000,0.74,13,clear sky,Motovun,2024-05-11 11:00:00,25
58,20.6,1019,40,1715421600,0.9,333,few clouds,Motovun,2024-05-11 12:00:00,25
59,21.6,1018,39,1715425200,1.18,292,few clouds,Motovun,2024-05-11 13:00:00,25
60,20.6,1019,44,1715428800,1.99,261,broken clouds,Motovun,2024-05-11 14:00:00,25
61,21.6,1018,48,1715432400,2.12,253,broken clouds,Motovun,2024-05-11 15:00:00,25
62,22.6,1018,50,1715436000,2.16,251,broken clouds,Motovun,2024-05-11 16:00:00,25
