,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,11.44,1018,89,1715212800,2.45,57,overcast clouds,Pazin,2024-05-09 02:00:00,30
1,11.11,1018,89,1715216400,2.69,49,overcast clouds,Pazin,2024-05-09 03:00:00,30
2,11.16,1018,88,1715220000,2.59,51,overcast clouds,Pazin,2024-05-09 04:00:00,30
3,11.17,1018,86,1715223600,2.47,56,overcast clouds,Pazin,2024-05-09 05:00:00,30
4,10.87,1018,85,1715227200,2.26,70,overcast clouds,Pazin,2024-05-09 06:00:00,30
5,12.21,1018,84,1715230800,2.37,69,overcast clouds,Pazin,2024-05-09 07:00:00,30
6,14.07,1019,78,1715234400,2.02,64,overcast clouds,Pazin,2024-05-09 08:00:00,30
7,15.98,1019,68,1715238000,1.94,69,overcast clouds,Pazin,2024-05-09 09:00:00,30
8,18.01,1019,57,1715241600,2.56,71,overcast clouds,Pazin,2024-05-09 10:00:00,30
9,19.18,1019,50,1715245200,3.5,73,overcast clouds,Pazin,2024-05-09 11:00:00,30
10,20.09,1019,46,1715248800,3.78,66,overcast clouds,Pazin,2024-05-09 12:00:00,30
11,20.73,1018,43,1715252400,3.59,69,overcast clouds,Pazin,2024-05-09 13:00:00,30
12,21.2,1018,42,1715256000,3.14,65,overcast clouds,Pazin,2024-05-09 14:00:00,30
13,21.1,1018,43,1715259600,3.58,58,overcast clouds,Pazin,2024-05-09 15:00:00,30
14,20.66,1018,45,1715263200,3.45,73,overcast clouds,Pazin,2024-05-09 16:00:00,30
15,19.88,1018,48,1715266800,3.4,65,overcast clouds,Pazin,2024-05-09 17:00:00,30
16,18.63,1018,55,1715270400,3.27,64,overcast clouds,Pazin,2024-05-09 18:00:00,30
17,16.97,1018,64,1715274000,2.37,76,overcast clouds,Pazin,2024-05-09 19:00:00,30
18,14.81,1019,70,1715277600,1.97,63,overcast clouds,Pazin,2024-05-09 20:00:00,30
19,13.76,1019,71,1715281200,2.0,50,overcast clouds,Pazin,2024-05-09 21:00:00,30
20,12.97,1019,72,1715284800,2.2,50,overcast clouds,Pazin,2024-05-09 22:00:00,30
21,12.34,1020,73,1715288400,2.56,53,overcast clouds,Pazin,2024-05-09 23:00:00,30
22,11.94,1020,74,1715292000,2.5,56,overcast clouds,Pazin,2024-05-10 00:00:00,30
23,11.47,1020,75,1715295600,2.65,50,broken clouds,Pazin,2024-05-10 01:00:00,30
24,11.28,1020,77,1715299200,2.69,50,clear sky,Pazin,2024-05-10 02:00:00,30
25,11.16,1019,79,1715302800,2.67,42,clear sky,Pazin,2024-05-10 03:00:00,30
26,11.12,1019,78,1715306400,2.59,39,clear sky,Pazin,2024-05-10 04:00:00,30
27,11.18,1019,75,1715310000,2.52,38,clear sky,Pazin,2024-05-10 05:00:00,30
28,11.02,1019,75,1715313600,2.43,42,clear sky,Pazin,2024-05-10 06:00:00,30
29,12.32,1019,73,1715317200,2.27,45,clear sky,Pazin,2024-05-10 07:00:00,30
30,15.47,1019,61,1715320800,2.21,41,clear sky,Pazin,2024-05-10 08:00:00,30
31,17.59,1019,51,1715324400,2.56,48,clear sky,Pazin,2024-05-10 09:00:00,30
32,19.22,1019,44,1715328000,2.75,61,clear sky,Pazin,2024-05-10 10:00:00,30
33,20.34,1019,40,1715331600,3.18,73,clear sky,Pazin,2024-05-10 11:00:00,30
34,21.13,1018,36,1715335200,3.31,85,clear sky,Pazin,2024-05-10 12:00:00,30
35,21.84,1018,35,1715338800,2.99,91,clear sky,Pazin,2024-05-10 13:00:00,30
36,22.3,1018,33,1715342400,2.62,104,clear sky,Pazin,2024-05-10 14:00:00,30
37,22.15,1018,34,1715346000,2.37,110,clear sky,Pazin,2024-05-10 15:00:00,30
38,21.88,1017,35,1715349600,1.81,109,clear sky,Pazin,2024-05-10 16:00:00,30
39,21.49,1017,38,1715353200,1.56,109,clear sky,Pazin,2024-05-10 17:00:00,30
40,20.71,1017,44,1715356800,1.57,107,clear sky,Pazin,2024-05-10 18:00:00,30
41,18.55,1017,58,1715360400,1.1,98,few clouds,Pazin,2024-05-10 19:00:00,30
42,15.45,1018,67,1715364000,1.4,54,scattered clouds,Pazin,2024-05-10 20:00:00,30
43,14.22,1018,69,1715367600,1.92,54,broken clouds,Pazin,2024-05-10 21:00:00,30
44,13.65,1019,69,1715371200,1.91,61,broken clouds,Pazin,2024-05-10 22:00:00,30
45,13.38,1019,68,1715374800,1.94,69,broken clouds,Pazin,2024-05-10 23:00:00,30
46,12.99,1019,68,1715378400,2.18,66,scattered clouds,Pazin,2024-05-11 00:00:00,30
47,12.59,1019,69,1715382000,2.09,64,scattered clouds,Pazin,2024-05-11 01:00:00,30
48,12.3,1019,68,1715385600,2.06,56,few clouds,Pazin,2024-05-11 02:00:00,30
49,12.17,1019,69,1715389200,2.0,59,scattered clouds,Pazin,2024-05-11 03:00:00,30
50,12.05,1019,70,1715392800,1.84,62,scattered clouds,Pazin,2024-05-11 04:00:00,30
51,11.91,1019,70,1715396400,1.75,52,few clouds,Pazin,2024-05-11 05:00:00,30
52,11.88,1019,72,1715400000,1.92,35,scattered clouds,Pazin,2024-05-11 06:00:00,30
53,13.4,1019,71,1715403600,1.77,31,few clouds,Pazin,2024-05-11 07:00:00,30
54,16.58,1019,61,1715407200,1.34,35,clear sky,Pazin,2024-05-11 08:00:00,30
55,19.03,1019,50,1715410800,1.1,54,clear sky,Pazin,2024-05-11 09:00:00,30
56,20.41,1019,44,1715414400,0.88,37,clear sky,Pazin,2024-05-11 10:00:00,30
57,21.44,1019,41,1715418000,0.69,29,clear sky,Pazin,2024-05-11 11:00:00,30
58,22.26,1019,39,1715421600,0.31,38,few clouds,Pazin,2024-05-11 12:00:00,30
59,21.92,1018,39,1715425200,0.83,196,scattered clouds,Pazin,2024-05-11 13:00:00,30
60,20.33,1019,47,1715428800,2.46,222,overcast clouds,Pazin,2024-05-11 14:00:00,30
61,19.05,1019,53,1715432400,2.55,243,overcast clouds,Pazin,2024-05-11 15:00:00,30
62,19.83,1018,50,1715436000,2.19,267,overcast clouds,Pazin,2024-05-11 16:00:00,30
63,19.78,1018,51,1715439600,2.27,283,overcast clouds,Pazin,2024-05-11 17:00:00,30
64,19.23,1018,54,1715443200,1.91,281,broken clouds,Pazin,2024-05-11 18:00:00,30
65,17.56,1018,68,1715446800,1.43,294,overcast clouds,Pazin,2024-05-11 19:00:00,30
66,15.27,1018,71,1715450400,1.17,322,overcast clouds,Pazin,2024-05-11 20:00:00,30
67,14.34,1018,69,1715454000,1.4,5,overcast clouds,Pazin,2024-05-11 21:00:00,30
68,13.85,1019,70,1715457600,1.64,21,overcast clouds,Pazin,2024-05-11 22:00:00,30
69,13.92,1019,70,1715461200,1.58,27,overcast clouds,Pazin,2024-05-11 23:00:00,30
70,13.76,1019,71,1715464800,1.57,28,overcast clouds,Pazin,2024-05-12 00:00:00,30
71,13.44,1019,70,1715468400,1.6,29,overcast clouds,Pazin,2024-05-12 01:00:00,30
72,13.49,1018,68,1715472000,1.64,28,broken clouds,Pazin,2024-05-12 02:00:00,30
73,13.39,1018,66,1715475600,1.62,29,broken clouds,Pazin,2024-05-12 03:00:00,30
74,13.09,1018,64,1715479200,1.62,30,scattered clouds,Pazin,2024-05-12 04:00:00,30
75,12.94,1018,63,1715482800,1.54,35,scattered clouds,Pazin,2024-05-12 05:00:00,30
76,13.16,1018,62,1715486400,1.54,41,scattered clouds,Pazin,2024-05-12 06:00:00,30
77,15.03,1018,61,1715490000,1.37,46,scattered clouds,Pazin,2024-05-12 07:00:00,30
78,17.72,1018,56,1715493600,0.67,54,few clouds,Pazin,2024-05-12 08:00:00,30
79,20.06,1018,48,1715497200,0.38,176,few clouds,Pazin,2024-05-12 09:00:00,30
80,21.66,1018,43,1715500800,0.65,185,few clouds,Pazin,2024-05-12 10:00:00,30
81,22.8,1018,40,1715504400,0.86,168,few clouds,Pazin,2024-05-12 11:00:00,30
82,23.17,1017,39,1715508000,1.47,188,few clouds,Pazin,2024-05-12 12:00:00,30
83,23.14,1017,40,1715511600,2.15,207,scattered clouds,Pazin,2024-05-12 13:00:00,30
84,21.71,1017,48,1715515200,2.54,220,broken clouds,Pazin,2024-05-12 14:00:00,30
85,19.7,1017,58,1715518800,2.04,234,broken clouds,Pazin,2024-05-12 15:00:00,30
86,19.3,1017,62,1715522400,1.3,248,broken clouds,Pazin,2024-05-12 16:00:00,30
87,20.35,1017,55,1715526000,1.05,256,overcast clouds,Pazin,2024-05-12 17:00:00,30
88,20.64,1017,52,1715529600,0.45,285,overcast clouds,Pazin,2024-05-12 18:00:00,30
89,19.44,1016,67,1715533200,0.21,98,overcast clouds,Pazin,2024-05-12 19:00:00,30
90,16.43,1017,74,1715536800,0.66,91,broken clouds,Pazin,2024-05-12 20:00:00,30
