,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,17.18,1018,65,1715385600,6.13,43,clear sky,Pula,2024-05-11 02:00:00,0
1,16.91,1018,66,1715389200,6.11,43,few clouds,Pula,2024-05-11 03:00:00,0
2,16.66,1018,67,1715392800,5.95,40,few clouds,Pula,2024-05-11 04:00:00,0
3,16.27,1018,69,1715396400,5.56,38,scattered clouds,Pula,2024-05-11 05:00:00,0
4,15.99,1018,70,1715400000,5.48,36,scattered clouds,Pula,2024-05-11 06:00:00,0
5,16.24,1018,71,1715403600,5.39,32,scattered clouds,Pula,2024-05-11 07:00:00,0
6,17.7,1019,68,1715407200,5.04,33,clear sky,Pula,2024-05-11 08:00:00,0
7,18.84,1019,61,1715410800,5.17,43,clear sky,Pula,2024-05-11 09:00:00,0
8,19.43,1019,58,1715414400,5.46,47,clear sky,Pula,2024-05-11 10:00:00,0
9,19.95,1019,56,1715418000,5.01,50,clear sky,Pula,2024-05-11 11:00:00,0
10,20.34,1019,56,1715421600,3.75,49,clear sky,Pula,2024-05-11 12:00:00,0
11,20.09,1019,57,1715425200,2.38,40,clear sky,Pula,2024-05-11 13:00:00,0
12,19.65,1019,60,1715428800,1.68,357,scattered clouds,Pula,2024-05-11 14:00:00,0
13,19.78,1019,61,1715432400,2.91,320,scattered clouds,Pula,2024-05-11 15:00:00,0
14,20.08,1018,60,1715436000,4.01,311,scattered clouds,Pula,2024-05-11 16:00:00,0
15,20.08,1018,60,1715439600,4.65,311,scattered clouds,Pula,2024-05-11 17:00:00,0
16,22.31,1017,37,1715443200,5.66,300,clear sky,Pula,2024-05-11 18:00:00,0
17,21.31,1017,40,1715446800,3.6,290,clear sky,Pula,2024-05-11 19:00:00,0
18,19.31,1017,52,1715450400,1.54,340,clear sky,Pula,2024-05-11 20:00:00,0
19,17.31,1018,59,1715454000,1.54,30,clear sky,Pula,2024-05-11 21:00:00,0
20,16.31,1018,59,1715457600,1.54,360,clear sky,Pula,2024-05-11 22:00:00,0
21,17.31,1018,45,1715461200,3.09,30,clear sky,Pula,2024-05-11 23:00:00,0
22,16.31,1018,55,1715464800,3.09,30,clear sky,Pula,2024-05-12 00:00:00,0
23,16.31,1018,59,1715468400,4.12,40,clear sky,Pula,2024-05-12 01:00:00,0
24,16.31,1018,55,1715472000,3.6,30,clear sky,Pula,2024-05-12 02:00:00,0
25,17.31,1017,48,1715475600,3.09,30,clear sky,Pula,2024-05-12 03:00:00,0
26,14.31,1017,58,1715479200,2.06,360,clear sky,Pula,2024-05-12 04:00:00,0
27,14.31,1017,58,1715482800,3.09,30,clear sky,Pula,2024-05-12 05:00:00,0
28,15.31,1017,55,1715486400,2.57,90,clear sky,Pula,2024-05-12 06:00:00,0
29,17.31,1017,51,1715490000,2.57,40,clear sky,Pula,2024-05-12 07:00:00,0
30,19.31,1017,48,1715493600,3.6,50,clear sky,Pula,2024-05-12 08:00:00,0
31,22.31,1018,43,1715497200,3.6,60,clear sky,Pula,2024-05-12 09:00:00,0
32,23.31,1018,38,1715500800,4.12,60,clear sky,Pula,2024-05-12 10:00:00,0
33,24.31,1018,38,1715504400,3.6,110,clear sky,Pula,2024-05-12 11:00:00,0
34,24.31,1017,38,1715508000,2.06,0,clear sky,Pula,2024-05-12 12:00:00,0
35,23.31,1017,43,1715511600,1.54,170,clear sky,Pula,2024-05-12 13:00:00,0
36,25.31,1017,36,1715515200,2.06,160,clear sky,Pula,2024-05-12 14:00:00,0
37,24.31,1017,43,1715518800,4.12,280,clear sky,Pula,2024-05-12 15:00:00,0
38,24.31,1017,43,1715522400,4.12,280,clear sky,Pula,2024-05-12 16:00:00,0
39,24.31,1016,41,1715526000,2.06,280,clear sky,Pula,2024-05-12 17:00:00,0
40,23.31,1016,43,1715529600,2.06,280,clear sky,Pula,2024-05-12 18:00:00,0
41,22.31,1016,53,1715533200,1.03,300,clear sky,Pula,2024-05-12 19:00:00,0
42,18.31,1016,68,1715536800,0.0,0,clear sky,Pula,2024-05-12 20:00:00,0
43,15.31,1016,77,1715540400,2.06,70,clear sky,Pula,2024-05-12 21:00:00,0
44,13.31,1016,82,1715544000,1.54,80,clear sky,Pula,2024-05-12 22:00:00,0
45,13.31,1016,82,1715547600,1.54,70,clear sky,Pula,2024-05-12 23:00:00,0
46,14.31,1016,72,1715551200,1.54,80,clear sky,Pula,2024-05-13 00:00:00,0
47,15.31,1016,67,1715554800,2.06,80,clear sky,Pula,2024-05-13 01:00:00,0
48,14.31,1016,72,1715558400,2.06,80,clear sky,Pula,2024-05-13 02:00:00,0
49,11.31,1016,93,1715562000,1.54,80,clear sky,Pula,2024-05-13 03:00:00,0
50,11.31,1016,87,1715565600,1.54,80,clear sky,Pula,2024-05-13 04:00:00,0
51,11.31,1016,93,1715569200,2.06,80,clear sky,Pula,2024-05-13 05:00:00,0
52,15.31,1016,77,1715572800,2.57,80,clear sky,Pula,2024-05-13 06:00:00,0
