,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,12.85,1019,68,1715385600,2.61,77,clear sky,Višnjan,2024-05-11 02:00:00,10
1,12.71,1019,68,1715389200,2.56,79,few clouds,Višnjan,2024-05-11 03:00:00,10
2,12.71,1019,68,1715392800,2.41,84,few clouds,Višnjan,2024-05-11 04:00:00,10
3,12.6,1019,68,1715396400,2.23,80,few clouds,Višnjan,2024-05-11 05:00:00,10
4,12.56,1019,69,1715400000,2.17,70,few clouds,Višnjan,2024-05-11 06:00:00,10
5,13.82,1019,69,1715403600,1.91,68,few clouds,Višnjan,2024-05-11 07:00:00,10
6,16.69,1019,62,1715407200,1.25,65,clear sky,Višnjan,2024-05-11 08:00:00,10
7,18.98,1019,53,1715410800,0.59,37,clear sky,Višnjan,2024-05-11 09:00:00,10
8,20.35,1019,47,1715414400,0.57,322,clear sky,Višnjan,2024-05-11 10:00:00,10
9,21.08,1019,44,1715418000,1.12,298,clear sky,Višnjan,2024-05-11 11:00:00,10
10,21.54,1019,43,1715421600,1.9,284,few clouds,Višnjan,2024-05-11 12:00:00,10
11,21.58,1019,43,1715425200,2.91,268,few clouds,Višnjan,2024-05-11 13:00:00,10
12,20.15,1019,49,1715428800,3.56,257,broken clouds,Višnjan,2024-05-11 14:00:00,10
13,19.35,1019,52,1715432400,2.75,247,broken clouds,Višnjan,2024-05-11 15:00:00,10
14,19.6,1018,52,1715436000,2.34,251,broken clouds,Višnjan,2024-05-11 16:00:00,10
15,19.58,1018,52,1715439600,1.94,259,broken clouds,Višnjan,2024-05-11 17:00:00,10
16,20.57,1018,55,1715443200,1.65,251,broken clouds,Višnjan,2024-05-11 18:00:00,10
17,19.57,1018,68,1715446800,1.22,260,overcast clouds,Višnjan,2024-05-11 19:00:00,10
18,18.57,1018,70,1715450400,0.36,286,overcast clouds,Višnjan,2024-05-11 20:00:00,10
19,15.57,1018,67,1715454000,0.91,55,overcast clouds,Višnjan,2024-05-11 21:00:00,10
20,13.57,1019,66,1715457600,1.59,61,overcast clouds,Višnjan,2024-05-11 22:00:00,10
21,12.57,1019,67,1715461200,1.91,66,overcast clouds,Višnjan,2024-05-11 23:00:00,10
22,11.57,1019,70,1715464800,2.06,68,broken clouds,Višnjan,2024-05-12 00:00:00,10
23,11.57,1019,72,1715468400,2.1,69,broken clouds,Višnjan,2024-05-12 01:00:00,10
24,11.57,1018,71,1715472000,2.04,68,few clouds,Višnjan,2024-05-12 02:00:00,10
25,11.57,1018,70,1715475600,1.99,67,scattered clouds,Višnjan,2024-05-12 03:00:00,10
26,10.57,1018,69,1715479200,1.96,65,scattered clouds,Višnjan,2024-05-12 04:00:00,10
27,10.57,1017,67,1715482800,1.86,73,scattered clouds,Višnjan,2024-05-12 05:00:00,10
28,10.57,1017,66,1715486400,1.79,72,scattered clouds,Višnjan,2024-05-12 06:00:00,10
29,12.57,1018,66,1715490000,1.62,77,scattered clouds,Višnjan,2024-05-12 07:00:00,10
30,14.57,1018,60,1715493600,0.69,73,scattered clouds,Višnjan,2024-05-12 08:00:00,10
31,18.57,1018,52,1715497200,0.06,182,broken clouds,Višnjan,2024-05-12 09:00:00,10
32,18.57,1018,48,1715500800,0.17,212,broken clouds,Višnjan,2024-05-12 10:00:00,10
33,18.57,1018,43,1715504400,0.78,242,scattered clouds,Višnjan,2024-05-12 11:00:00,10
34,21.57,1017,43,1715508000,2.06,247,broken clouds,Višnjan,2024-05-12 12:00:00,10
35,22.57,1017,45,1715511600,3.25,253,scattered clouds,Višnjan,2024-05-12 13:00:00,10
36,23.57,1018,47,1715515200,3.51,249,few clouds,Višnjan,2024-05-12 14:00:00,10
37,23.57,1017,47,1715518800,2.91,239,scattered clouds,Višnjan,2024-05-12 15:00:00,10
38,22.57,1017,47,1715522400,2.17,231,scattered clouds,Višnjan,2024-05-12 16:00:00,10
39,22.57,1017,47,1715526000,1.86,233,scattered clouds,Višnjan,2024-05-12 17:00:00,10
40,22.57,1016,50,1715529600,1.09,234,broken clouds,Višnjan,2024-05-12 18:00:00,10
41,21.57,1016,63,1715533200,0.24,228,broken clouds,Višnjan,2024-05-12 19:00:00,10
42,20.57,1016,68,1715536800,0.65,92,overcast clouds,Višnjan,2024-05-12 20:00:00,10
43,16.57,1017,70,1715540400,1.59,81,overcast clouds,Višnjan,2024-05-12 21:00:00,10
44,14.57,1017,74,1715544000,1.96,83,overcast clouds,Višnjan,2024-05-12 22:00:00,10
45,13.57,1017,76,1715547600,2.09,83,overcast clouds,Višnjan,2024-05-12 23:00:00,10
46,12.57,1017,76,1715551200,2.16,82,overcast clouds,Višnjan,2024-05-13 00:00:00,10
47,13.57,1017,74,1715554800,2.09,81,overcast clouds,Višnjan,2024-05-13 01:00:00,10
48,13.57,1017,73,1715558400,1.83,90,broken clouds,Višnjan,2024-05-13 02:00:00,10
49,13.57,1016,71,1715562000,1.7,100,broken clouds,Višnjan,2024-05-13 03:00:00,10
50,13.57,1016,72,1715565600,1.48,96,broken clouds,Višnjan,2024-05-13 04:00:00,10
51,13.57,1016,71,1715569200,1.78,90,overcast clouds,Višnjan,2024-05-13 05:00:00,10
52,12.57,1016,72,1715572800,1.99,86,overcast clouds,Višnjan,2024-05-13 06:00:00,10
53,13.57,1016,72,1715576400,1.71,82,light rain,Višnjan,2024-05-13 07:00:00,10
54,15.57,1016,67,1715580000,1.3,88,light rain,Višnjan,2024-05-13 08:00:00,10
55,16.57,1016,60,1715583600,1.07,107,light rain,Višnjan,2024-05-13 09:00:00,10
56,18.57,1016,55,1715587200,0.99,155,overcast clouds,Višnjan,2024-05-13 10:00:00,10
57,20.57,1016,53,1715590800,1.73,208,overcast clouds,Višnjan,2024-05-13 11:00:00,10
58,19.57,1016,53,1715594400,2.11,225,light rain,Višnjan,2024-05-13 12:00:00,10
59,19.57,1015,49,1715598000,2.42,211,light rain,Višnjan,2024-05-13 13:00:00,10
60,19.57,1015,47,1715601600,2.32,193,light rain,Višnjan,2024-05-13 14:00:00,10
61,19.57,1015,48,1715605200,2.1,209,overcast clouds,Višnjan,2024-05-13 15:00:00,10
62,19.57,1015,53,1715608800,1.35,234,overcast clouds,Višnjan,2024-05-13 16:00:00,10
63,19.57,1014,56,1715612400,0.87,275,overcast clouds,Višnjan,2024-05-13 17:00:00,10
64,18.57,1014,65,1715616000,0.8,337,overcast clouds,Višnjan,2024-05-13 18:00:00,10
65,18.57,1013,73,1715619600,1.2,102,overcast clouds,Višnjan,2024-05-13 19:00:00,10
66,18.57,1013,72,1715623200,2.36,122,overcast clouds,Višnjan,2024-05-13 20:00:00,10
67,16.57,1014,77,1715626800,0.59,156,light rain,Višnjan,2024-05-13 21:00:00,10
68,16.57,1014,75,1715630400,0.98,92,overcast clouds,Višnjan,2024-05-13 22:00:00,10
69,15.57,1014,73,1715634000,1.47,88,light rain,Višnjan,2024-05-13 23:00:00,10
70,14.57,1013,71,1715637600,1.76,94,light rain,Višnjan,2024-05-14 00:00:00,10
71,14.57,1013,72,1715641200,2.0,85,light rain,Višnjan,2024-05-14 01:00:00,10
72,14.57,1012,71,1715644800,2.1,84,light rain,Višnjan,2024-05-14 02:00:00,10
73,14.57,1012,71,1715648400,1.81,98,light rain,Višnjan,2024-05-14 03:00:00,10
74,13.57,1011,73,1715652000,2.01,105,light rain,Višnjan,2024-05-14 04:00:00,10
75,13.57,1011,76,1715655600,2.16,94,moderate rain,Višnjan,2024-05-14 05:00:00,10
76,13.57,1011,78,1715659200,2.16,87,light rain,Višnjan,2024-05-14 06:00:00,10
77,13.57,1011,79,1715662800,1.68,90,moderate rain,Višnjan,2024-05-14 07:00:00,10
78,14.57,1012,76,1715666400,1.57,95,moderate rain,Višnjan,2024-05-14 08:00:00,10
79,16.57,1012,74,1715670000,1.48,93,light rain,Višnjan,2024-05-14 09:00:00,10
80,18.57,1012,87,1715673600,1.76,71,overcast clouds,Višnjan,2024-05-14 10:00:00,10
81,18.57,1012,90,1715677200,2.46,85,overcast clouds,Višnjan,2024-05-14 11:00:00,10
82,19.57,1012,83,1715680800,2.92,99,overcast clouds,Višnjan,2024-05-14 12:00:00,10
83,19.57,1012,78,1715684400,2.87,120,light rain,Višnjan,2024-05-14 13:00:00,10
84,20.57,1012,77,1715688000,2.93,134,few clouds,Višnjan,2024-05-14 14:00:00,10
85,18.57,1012,77,1715691600,2.97,131,light rain,Višnjan,2024-05-14 15:00:00,10
86,19.57,1012,75,1715695200,2.61,120,heavy intensity rain,Višnjan,2024-05-14 16:00:00,10
87,20.57,1012,72,1715698800,2.3,116,few clouds,Višnjan,2024-05-14 17:00:00,10
88,20.57,1011,78,1715702400,2.05,114,few clouds,Višnjan,2024-05-14 18:00:00,10
89,16.57,1011,83,1715706000,1.85,107,few clouds,Višnjan,2024-05-14 19:00:00,10
90,16.57,1012,85,1715709600,1.8,103,clear sky,Višnjan,2024-05-14 20:00:00,10
91,15.57,1012,87,1715713200,2.06,91,few clouds,Višnjan,2024-05-14 21:00:00,10
92,14.57,1013,88,1715716800,2.24,87,few clouds,Višnjan,2024-05-14 22:00:00,10
93,13.57,1013,89,1715720400,2.3,84,few clouds,Višnjan,2024-05-14 23:00:00,10
94,12.57,1013,89,1715724000,2.23,86,scattered clouds,Višnjan,2024-05-15 00:00:00,10
95,12.57,1013,89,1715727600,2.34,83,scattered clouds,Višnjan,2024-05-15 01:00:00,10
