,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,15.95,1019,63,1715385600,4.98,49,clear sky,Vodnjan,2024-05-11 02:00:00,7
1,15.7,1019,64,1715389200,5.03,48,few clouds,Vodnjan,2024-05-11 03:00:00,7
2,15.39,1018,65,1715392800,4.77,47,few clouds,Vodnjan,2024-05-11 04:00:00,7
3,14.86,1018,67,1715396400,4.38,43,scattered clouds,Vodnjan,2024-05-11 05:00:00,7
4,14.52,1018,69,1715400000,4.33,37,scattered clouds,Vodnjan,2024-05-11 06:00:00,7
5,15.12,1018,70,1715403600,4.2,32,scattered clouds,Vodnjan,2024-05-11 07:00:00,7
6,17.29,1019,65,1715407200,3.78,35,clear sky,Vodnjan,2024-05-11 08:00:00,7
7,18.75,1019,56,1715410800,4.18,47,clear sky,Vodnjan,2024-05-11 09:00:00,7
8,19.49,1019,52,1715414400,4.39,51,clear sky,Vodnjan,2024-05-11 10:00:00,7
9,20.15,1019,50,1715418000,3.81,51,clear sky,Vodnjan,2024-05-11 11:00:00,7
10,20.64,1019,50,1715421600,2.59,46,clear sky,Vodnjan,2024-05-11 12:00:00,7
11,20.18,1019,52,1715425200,1.65,13,clear sky,Vodnjan,2024-05-11 13:00:00,7
12,19.34,1019,56,1715428800,1.57,328,broken clouds,Vodnjan,2024-05-11 14:00:00,7
13,19.51,1019,57,1715432400,2.67,310,broken clouds,Vodnjan,2024-05-11 15:00:00,7
14,19.88,1018,55,1715436000,3.53,304,broken clouds,Vodnjan,2024-05-11 16:00:00,7
15,19.73,1018,56,1715439600,4.04,305,scattered clouds,Vodnjan,2024-05-11 17:00:00,7
16,21.49,1017,37,1715443200,5.66,300,clear sky,Vodnjan,2024-05-11 18:00:00,7
17,20.49,1017,40,1715446800,3.6,290,clear sky,Vodnjan,2024-05-11 19:00:00,7
18,18.49,1017,52,1715450400,1.54,340,clear sky,Vodnjan,2024-05-11 20:00:00,7
19,16.49,1018,59,1715454000,1.54,30,clear sky,Vodnjan,2024-05-11 21:00:00,7
20,15.49,1018,59,1715457600,1.54,360,clear sky,Vodnjan,2024-05-11 22:00:00,7
21,16.49,1018,45,1715461200,3.09,30,clear sky,Vodnjan,2024-05-11 23:00:00,7
22,15.49,1018,55,1715464800,3.09,30,clear sky,Vodnjan,2024-05-12 00:00:00,7
23,15.49,1018,59,1715468400,4.12,40,clear sky,Vodnjan,2024-05-12 01:00:00,7
24,15.49,1018,55,1715472000,3.6,30,clear sky,Vodnjan,2024-05-12 02:00:00,7
25,16.49,1017,48,1715475600,3.09,30,clear sky,Vodnjan,2024-05-12 03:00:00,7
26,13.49,1017,58,1715479200,2.06,360,clear sky,Vodnjan,2024-05-12 04:00:00,7
27,13.49,1017,58,1715482800,3.09,30,clear sky,Vodnjan,2024-05-12 05:00:00,7
28,14.49,1017,55,1715486400,2.57,90,clear sky,Vodnjan,2024-05-12 06:00:00,7
29,16.49,1017,51,1715490000,2.57,40,clear sky,Vodnjan,2024-05-12 07:00:00,7
30,18.49,1017,48,1715493600,3.6,50,clear sky,Vodnjan,2024-05-12 08:00:00,7
31,21.49,1018,43,1715497200,3.6,60,clear sky,Vodnjan,2024-05-12 09:00:00,7
32,22.49,1018,38,1715500800,4.12,60,clear sky,Vodnjan,2024-05-12 10:00:00,7
33,23.49,1018,38,1715504400,3.6,110,clear sky,Vodnjan,2024-05-12 11:00:00,7
34,23.49,1017,38,1715508000,2.06,0,clear sky,Vodnjan,2024-05-12 12:00:00,7
35,22.49,1017,43,1715511600,1.54,170,clear sky,Vodnjan,2024-05-12 13:00:00,7
36,24.49,1017,36,1715515200,2.06,160,clear sky,Vodnjan,2024-05-12 14:00:00,7
37,23.49,1017,43,1715518800,4.12,280,clear sky,Vodnjan,2024-05-12 15:00:00,7
38,23.49,1017,43,1715522400,4.12,280,clear sky,Vodnjan,2024-05-12 16:00:00,7
39,23.49,1016,41,1715526000,2.06,280,clear sky,Vodnjan,2024-05-12 17:00:00,7
40,22.49,1016,43,1715529600,2.06,280,clear sky,Vodnjan,2024-05-12 18:00:00,7
41,21.49,1016,53,1715533200,1.03,300,clear sky,Vodnjan,2024-05-12 19:00:00,7
42,17.49,1016,68,1715536800,0.0,0,clear sky,Vodnjan,2024-05-12 20:00:00,7
43,14.49,1016,77,1715540400,2.06,70,clear sky,Vodnjan,2024-05-12 21:00:00,7
44,12.49,1016,82,1715544000,1.54,80,clear sky,Vodnjan,2024-05-12 22:00:00,7
45,12.49,1016,82,1715547600,1.54,70,clear sky,Vodnjan,2024-05-12 23:00:00,7
46,13.49,1016,72,1715551200,1.54,80,clear sky,Vodnjan,2024-05-13 00:00:00,7
47,14.49,1016,67,1715554800,2.06,80,clear sky,Vodnjan,2024-05-13 01:00:00,7
48,13.49,1016,72,1715558400,2.06,80,clear sky,Vodnjan,2024-05-13 02:00:00,7
49,10.49,1016,93,1715562000,1.54,80,clear sky,Vodnjan,2024-05-13 03:00:00,7
50,10.49,1016,87,1715565600,1.54,80,clear sky,Vodnjan,2024-05-13 04:00:00,7
51,10.49,1016,93,1715569200,2.06,80,clear sky,Vodnjan,2024-05-13 05:00:00,7
52,14.49,1016,77,1715572800,2.57,80,clear sky,Vodnjan,2024-05-13 06:00:00,7
