,temp,pressure,humidity,unix_dt,wind_speed,wind_deg,description,city_name,date_time,distance_to_see
0,12.73,1019,66,1715385600,2.99,53,clear sky,Žminj,2024-05-11 02:00:00,23
1,12.58,1019,66,1715389200,2.98,54,few clouds,Žminj,2024-05-11 03:00:00,23
2,12.37,1019,67,1715392800,2.74,54,few clouds,Žminj,2024-05-11 04:00:00,23
3,12.03,1019,69,1715396400,2.54,48,scattered clouds,Žminj,2024-05-11 05:00:00,23
4,11.86,1019,70,1715400000,2.62,36,scattered clouds,Žminj,2024-05-11 06:00:00,23
5,13.07,1019,70,1715403600,2.47,30,few clouds,Žminj,2024-05-11 07:00:00,23
6,16.0,1019,62,1715407200,2.07,36,clear sky,Žminj,2024-05-11 08:00:00,23
7,18.1,1019,52,1715410800,2.2,51,clear sky,Žminj,2024-05-11 09:00:00,23
8,19.24,1019,46,1715414400,2.14,49,clear sky,Žminj,2024-05-11 10:00:00,23
9,20.14,1019,44,1715418000,1.78,48,clear sky,Žminj,2024-05-11 11:00:00,23
10,20.88,1019,42,1715421600,1.13,48,clear sky,Žminj,2024-05-11 12:00:00,23
11,20.58,1019,43,1715425200,0.09,37,few clouds,Žminj,2024-05-11 13:00:00,23
12,19.23,1019,49,1715428800,1.47,243,overcast clouds,Žminj,2024-05-11 14:00:00,23
13,18.55,1019,53,1715432400,2.16,264,overcast clouds,Žminj,2024-05-11 15:00:00,23
14,19.18,1018,50,1715436000,2.48,281,broken clouds,Žminj,2024-05-11 16:00:00,23
15,19.04,1018,51,1715439600,2.81,291,broken clouds,Žminj,2024-05-11 17:00:00,23
16,19.98,1018,55,1715443200,2.59,293,broken clouds,Žminj,2024-05-11 18:00:00,23
17,18.98,1018,67,1715446800,2.12,306,broken clouds,Žminj,2024-05-11 19:00:00,23
18,16.98,1018,69,1715450400,1.92,328,overcast clouds,Žminj,2024-05-11 20:00:00,23
19,14.98,1018,67,1715454000,2.02,354,overcast clouds,Žminj,2024-05-11 21:00:00,23
20,13.98,1019,66,1715457600,2.07,9,overcast clouds,Žminj,2024-05-11 22:00:00,23
21,14.98,1019,67,1715461200,2.06,19,overcast clouds,Žminj,2024-05-11 23:00:00,23
22,13.98,1019,67,1715464800,2.04,23,overcast clouds,Žminj,2024-05-12 00:00:00,23
23,13.98,1019,67,1715468400,2.09,27,broken clouds,Žminj,2024-05-12 01:00:00,23
24,13.98,1018,65,1715472000,2.1,27,scattered clouds,Žminj,2024-05-12 02:00:00,23
